Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
7.0,24.0,7.0,0,,,,0.5457000000000002,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.5506777778625485,0,0,0,0.0
8.0,2.0,1.0,0,,,,0.3330833333333329,0,0,0,0.0
8.0,3.0,1.0,0,,,,0.3226555554707844,0,0,0,0.0
8.0,4.0,1.0,0,,,,0.3205999999999998,0,0,0,0.0
8.0,5.0,1.0,0,,,,0.3311888888041179,0,0,0,0.0
8.0,6.0,1.0,0,,,,0.7040000000000002,0,0,0,32.155739497358866
8.0,7.0,1.0,0,,,,0.5862833333333334,0,0,0,95.51641462714639
8.0,8.0,1.0,0,,,,0.2547222218831378,0,0,0,172.285619164559
8.0,9.0,1.0,0,,,,0.2566166666666665,0,0,0,233.04971395207005
8.0,10.0,1.0,0,,,,0.2568499999999997,0,0,0,350.42739838421926
8.0,11.0,1.0,0,,,,0.5767666666666665,0,0,0,377.8776991113039
8.0,12.0,1.0,0,,,,1.3443666666666665,0,0,0,285.4699244808249
8.0,13.0,1.0,0,,,,1.5848944437662762,0,0,0,211.23459778973316
8.0,14.0,1.0,0,,,,2.971716666666666,0,0,0,196.74648615599182
8.0,15.0,1.0,0,,,,6.215766666666667,0,0,0,234.90738237016888
8.0,16.0,1.0,0,,,,7.140183333333333,0,0,0,181.0920536088273
8.0,17.0,1.0,0,,,,6.674383333333333,0,0,0,98.08624816288399
8.0,18.0,1.0,0,,,,5.620116666666666,0,0,0,57.79171363447844
8.0,19.0,1.0,0,,,,2.4780444458007804,0,0,0,23.262153136621865
8.0,20.0,1.0,0,,,,3.6981666666666655,0,0,0,0.0
8.0,21.0,1.0,0,,,,2.693594443766276,0,0,0,0.0
8.0,22.0,1.0,0,,,,1.44065,0,0,0,0.0
8.0,23.0,1.0,0,,,,1.3804166666666666,0,0,0,0.0
8.0,24.0,1.0,0,,,,1.6841,0,0,0,0.0
8.0,1.0,2.0,0,,,,0.9832499999999996,0,0,0,0.0
8.0,2.0,2.0,0,,,,0.910033333333333,0,0,0,0.0
8.0,3.0,2.0,0,,,,0.5755499999999999,0,0,0,0.0
8.0,4.0,2.0,0,,,,0.5439888885498047,0,0,0,0.0
8.0,5.0,2.0,0,,,,0.5323999999999999,0,0,0,0.0
8.0,6.0,2.0,0,,,,1.0338833333333337,0,0,0,33.70141583755267
8.0,7.0,2.0,0,,,,0.3873166666666668,0,0,0,80.18422881534444
8.0,8.0,2.0,0,,,,0.5367222218831379,0,0,0,108.1792101679227
8.0,9.0,2.0,0,,,,0.5476499999999997,0,0,0,124.90796531932948
8.0,10.0,2.0,0,,,,0.5560916666666664,0,0,0,137.29712289340546
8.0,11.0,2.0,0,,,,3.550266666666665,0,0,0,275.0714804462632
8.0,12.0,2.0,0,,,,4.105533333333333,0,0,0,558.6152158395945
8.0,13.0,2.0,0,,,,4.52635,0,0,0,785.8857198909159
8.0,14.0,2.0,0,,,,4.619133333333333,0,0,0,947.6179980928857
8.0,15.0,2.0,0,,,,2.373116666666667,0,0,0,1053.2765772934813
8.0,16.0,2.0,0,,,,2.680250000000001,0,0,0,1066.5087861776844
8.0,17.0,2.0,0,,,,2.614383333333334,0,0,0,990.1767158172197
8.0,18.0,2.0,0,,,,2.0629166666666667,0,0,0,811.380036049971
8.0,19.0,2.0,0,,,,1.7826055501302085,0,0,0,467.0800847491297
8.0,20.0,2.0,0,,,,1.8461166666666655,0,0,0,0.0
8.0,21.0,2.0,0,,,,1.1283833333333333,0,0,0,0.0
8.0,22.0,2.0,0,,,,1.2955000000000003,0,0,0,0.0
8.0,23.0,2.0,0,,,,5.020294449869793,0,0,0,0.0
8.0,24.0,2.0,0,,,,5.401933333333334,0,0,0,0.0
8.0,1.0,3.0,0,,,,2.4891611124674484,0,0,0,0.0
